"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.10.2023","8.979,59","9.450,38","9.496,16","8.878,74","178,44M","-4,76%"
"01.09.2023","9.428,00","9.513,90","9.672,20","9.238,50","2,58B","-0,82%"
"01.08.2023","9.505,90","9.639,90","9.657,20","9.192,70","2,33B","-1,41%"
"01.07.2023","9.641,50","9.604,30","9.741,90","9.169,80","2,60B","0,51%"
"01.06.2023","9.593,00","9.130,30","9.642,30","9.105,90","2,76B","6,00%"
"01.05.2023","9.050,20","9.248,20","9.326,60","8.967,30","2,76B","-2,06%"
"01.04.2023","9.241,00","9.214,60","9.540,50","9.135,50","2,63B","0,09%"
"01.03.2023","9.232,50","9.420,90","9.528,30","8.501,20","5,33B","-1,73%"
"01.02.2023","9.394,60","9.047,30","9.442,80","9.046,20","3,65B","3,99%"
"01.01.2023","9.034,00","8.297,90","9.082,80","8.283,70","3,96B","9,78%"
"01.12.2022","8.229,10","8.426,20","8.469,00","8.059,50","3,16B","-1,60%"
"01.11.2022","8.363,20","8.017,80","8.426,03","7.798,12","3,13B","5,11%"
"01.10.2022","7.956,50","7.327,50","7.958,10","7.189,60","3,43B","8,00%"
"01.09.2022","7.366,80","7.838,80","8.235,80","7.242,20","3,93B","-6,59%"
"01.08.2022","7.886,10","8.161,90","8.540,00","7.866,60","2,89B","-3,31%"
"01.07.2022","8.156,20","8.043,00","8.240,40","7.764,90","3,98B","0,71%"
"01.06.2022","8.098,70","8.881,30","8.909,30","7.994,20","3,87B","-8,50%"
"01.05.2022","8.851,50","8.516,60","8.992,70","8.134,50","4,21B","3,11%"
"01.04.2022","8.584,20","8.481,70","8.877,70","8.344,90","3,82B","1,65%"
"01.03.2022","8.445,10","8.462,10","8.621,00","7.287,70","6,31B","-0,40%"
"01.02.2022","8.479,20","8.679,90","8.912,20","8.048,00","5,22B","-1,55%"
"01.01.2022","8.612,80","8.729,70","8.866,60","8.361,40","3,89B","-1,16%"
"01.12.2021","8.713,80","8.357,10","8.728,00","8.082,40","3,34B","4,92%"
"01.11.2021","8.305,10","9.064,60","9.198,10","8.260,70","4,21B","-8,31%"
"01.10.2021","9.057,70","8.693,40","9.057,70","8.654,80","3,50B","2,97%"
"01.09.2021","8.796,30","8.923,70","9.055,50","8.551,20","3,92B","-0,57%"
"01.08.2021","8.846,60","8.723,30","9.015,70","8.723,30","2,49B","1,97%"
"01.07.2021","8.675,70","8.862,30","8.968,10","8.252,20","3,23B","-1,65%"
"01.06.2021","8.821,20","9.167,30","9.310,80","8.765,30","3,47B","-3,58%"
"01.05.2021","9.148,90","8.821,60","9.254,70","8.796,30","3,82B","3,79%"
"01.04.2021","8.815,00","8.595,60","8.869,90","8.426,20","3,44B","2,74%"
"01.03.2021","8.580,00","8.324,60","8.740,10","8.239,70","4,96B","4,32%"
"01.02.2021","8.225,00","7.823,00","8.387,00","7.779,80","4,22B","6,03%"
"01.01.2021","7.757,50","8.191,80","8.439,70","7.713,50","4,07B","-3,92%"
"01.12.2020","8.073,70","8.112,70","8.322,90","7.663,50","4,87B","-0,04%"
"01.11.2020","8.076,90","6.481,40","8.199,90","6.396,30","7,63B","25,18%"
"01.10.2020","6.452,20","6.789,10","7.024,60","6.329,50","4,96B","-3,94%"
"01.09.2020","6.716,60","7.038,50","7.159,60","6.552,30","6,28B","-3,63%"
"01.08.2020","6.969,50","6.867,40","7.321,90","6.788,90","3,89B","1,34%"
"01.07.2020","6.877,40","7.245,60","7.654,80","6.877,40","4,96B","-4,90%"
"01.06.2020","7.231,40","7.228,70","7.992,70","7.062,90","8,10B","1,90%"
"01.05.2020","7.096,50","6.767,70","7.244,50","6.421,40","5,96B","2,52%"
"01.04.2020","6.922,30","6.627,30","7.209,70","6.424,50","4,46B","2,02%"
"01.03.2020","6.785,40","8.910,20","9.014,30","5.814,50","8,46B","-22,21%"
"01.02.2020","8.723,20","9.404,40","10.100,20","8.582,70","4,26B","-6,88%"
"01.01.2020","9.367,90","9.639,10","9.709,90","9.357,80","3,32B","-1,90%"
"01.12.2019","9.549,20","9.367,20","9.700,50","9.110,10","3,05B","2,11%"
"01.11.2019","9.352,00","9.293,10","9.482,50","9.132,80","3,44B","1,02%"
"01.10.2019","9.257,50","9.277,00","9.494,50","8.850,60","3,73B","0,14%"
"01.09.2019","9.244,60","8.810,80","9.257,30","8.772,80","3,96B","4,90%"
"01.08.2019","8.812,90","8.947,60","9.038,20","8.409,10","3,59B","-1,76%"
"01.07.2019","8.971,00","9.290,30","9.453,20","8.946,40","3,56B","-2,48%"
"01.06.2019","9.198,80","8.945,70","9.332,50","8.903,10","3,25B","2,16%"
"01.05.2019","9.004,20","9.545,50","9.559,70","8.959,50","3,35B","-5,92%"
